Model,Type,In-Domain mAP50,In-Domain mAP50-95,Cross-Domain mAP50,Cross-Domain mAP50-95,Gap,Retention %
fasterrcnn,Task-Specific,0.19252932820574925,0.13259671902151562,0.13596218575593458,0.06836413399637803,0.05656714244981467,70.61894778474303
retinanet,Task-Specific,0.21034728028212335,0.15140917708034932,0.06900037192968611,0.025070222410627497,0.14134690835243724,32.80307301199283
grounding_dino,Foundation,0.1526069884189075,0.12690232754727365,N/A,N/A,N/A,N/A
yolov8,Task-Specific,0.6417,0.5204,0.1349,0.0472,0.5068,21.0
grounding_dino,Foundation,0.1526,0.1269,0.4270,0.2249,-0.2744,280.1
owlvit,Foundation,N/A,N/A,N/A,N/A,N/A,N/A
